Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,WINS,LOSSES
1,Memphis Grizzlies,39,240,44.9,93.2,0.482,14,38,0.368,30.9,55.2,0.559,19.3,24.9,0.773,13.1,35.4,48.5,29.9,9.2,6.4,17.3,21.3,123,25,14
2,Cleveland Cavaliers,37,240,45.2,89.6,0.505,16.3,40.4,0.405,28.9,49.2,0.587,16.2,20.9,0.775,9.8,33.8,43.6,29.4,8.8,4.6,13,18.2,122.9,33,4
3,Denver Nuggets,37,242.7,45.1,90.4,0.499,11.9,31.1,0.382,33.2,59.2,0.56,18.5,24.4,0.761,10.9,34.4,45.3,31.5,8.8,4.7,14.1,18.1,120.6,22,15
4,Chicago Bulls,38,240.7,43.4,92.3,0.471,16.4,43.8,0.375,27,48.4,0.558,14.8,18.7,0.793,9.4,35.9,45.3,29.6,7.7,4.7,15.1,18.1,118.2,18,20
5,Boston Celtics,38,242,41.6,90.6,0.46,18,49.5,0.364,23.6,41.1,0.575,16.7,21,0.793,10.9,34,44.9,25.4,7.6,5.7,12,16.1,117.9,27,11
6,Atlanta Hawks,38,241.3,42.8,92.1,0.465,13.1,36.8,0.354,29.7,55.2,0.539,18.6,23.7,0.785,12,33.1,45.1,29.9,10.3,5.3,16,18.5,117.2,19,19
7,New York Knicks,39,240.6,43.3,87.8,0.493,13,34.9,0.373,30.3,52.9,0.573,16.9,21,0.806,10.4,32.8,43.2,27.2,7.6,4,13.2,17.1,116.6,25,14
8,Dallas Mavericks,38,240.7,42.4,88.4,0.48,13.3,35.6,0.375,29.1,52.8,0.551,18.2,23.5,0.776,11.2,33.9,45.2,25.1,8.1,5.9,14.3,19.1,116.4,22,16
9,Sacramento Kings,38,243.3,42.9,90.6,0.474,12.4,35.8,0.347,30.5,54.7,0.557,17.7,21.9,0.808,10.8,33.6,44.4,26.2,8.4,4.8,13.5,20.1,115.9,19,19
10,Oklahoma City Thunder,37,240,43.2,91.8,0.471,13.5,38.1,0.354,29.8,53.7,0.554,15.6,19.1,0.818,9.9,33.7,43.6,25.9,11.6,6,12,20.3,115.6,31,6
11,Indiana Pacers,39,241.3,43.1,87.9,0.49,12.7,33.9,0.373,30.4,54,0.564,16.5,21.3,0.778,8.9,32.7,41.6,28.2,8.1,5.1,13.9,19.4,115.4,21,18
12,Houston Rockets,37,242,41.7,93.9,0.444,11.9,36.3,0.329,29.7,57.6,0.516,17.8,23.4,0.762,14.5,34.3,48.8,22,8.7,5.2,13.4,19.8,113.1,25,12
13,Milwaukee Bucks,36,240.7,41.4,86.4,0.479,14.5,37.3,0.388,26.9,49.1,0.548,15.6,21.4,0.73,8.3,35.5,43.8,24.6,7.9,5.2,14.2,18.4,112.9,20,16
14,Detroit Pistons,39,242.6,41.6,88.8,0.468,13.6,37.2,0.367,27.9,51.7,0.541,15.3,19.9,0.766,11,33.7,44.7,26,7.4,5.1,15.9,20.3,112.1,20,19
15,Phoenix Suns,37,241.4,40.3,85.4,0.472,14,37.4,0.375,26.3,48,0.548,17.6,22.1,0.797,9.4,33.1,42.5,27.2,7.6,5.1,14,18,112.1,18,19
16,Los Angeles Lakers,36,240.7,40.5,85.7,0.473,11.9,33.7,0.354,28.6,52,0.55,18.9,24,0.789,9.4,31.9,41.4,26.3,7.6,4.9,13.4,16.4,111.8,20,16
17,Golden State Warriors,38,240.7,41.1,91.7,0.448,15,41.4,0.363,26.1,50.3,0.518,14.1,19.8,0.711,12.7,33.8,46.4,28.6,8.9,5.4,14.5,19.3,111.3,19,19
18,San Antonio Spurs,37,241.4,40.2,88.8,0.453,13.7,40.1,0.342,26.5,48.7,0.544,17.1,21.5,0.795,11.1,34.7,45.8,28.6,7.4,6.9,14.5,16.3,111.3,18,19
19,Toronto Raptors,39,241.9,41.9,90,0.466,11.5,33.2,0.347,30.4,56.8,0.535,15.8,21.2,0.744,12.2,31.6,43.9,28.7,8,4.4,16.2,21.6,111.2,8,31
20,Miami Heat,37,243.4,39.6,86.9,0.455,14.2,38.5,0.368,25.4,48.4,0.525,17.8,22.8,0.781,9.5,33.9,43.5,26.2,9,3.8,13.5,16.2,111.2,20,17
21,Utah Jazz,37,240,39.5,86.4,0.457,13.8,38.4,0.361,25.7,48,0.535,18,22.7,0.795,12.2,33.2,45.5,24.7,7,4.9,18.2,18.5,110.9,9,28
22,Minnesota Timberwolves,38,241.3,39.3,85.6,0.459,15.1,40,0.378,24.2,45.6,0.529,15.7,20.1,0.781,10.1,33.4,43.5,25.1,8.1,4.7,15.8,18.1,109.3,20,18
23,Los Angeles Clippers,37,240.7,39.8,85.8,0.464,12.5,34.4,0.363,27.3,51.4,0.531,16.9,21.7,0.78,10.7,33.3,44.1,24.2,9.7,4.5,16.5,18.7,108.9,20,17
